,ANSWER,QUESTION.question,QUESTION.paragraph
2432,"Young Acacia trees have thin, straight, light, grey spines in axillary pairs usually in 3 to 12 pairs, 5-7.5 cm long. Mature Acacia trees, on the other hand, lack these spines making them easily distinguishable from their younger counterparts.",What are the distinctive features of mature and young Acacia trees?,"The tree has thin, straight, light, grey spines in axillary pairs, usually in 3 to 12 pairs, 5-7.5 cm long in young trees, the same is absent in mature tree."
2433,"Acacia species play a significant role in traditional Australian food practices where their seeds are ground into flour and used as a food supplement. These seeds are high in protein and can be stored for long periods, making them a valuable resource.",What role do Acacia species play in traditional Australian food practices?,"Traditionally, the seeds of some acacia species are ground into flour and used as food supplement as well in Australia."
2434,"Acacia timber is valued for its durability and attractiveness, making it ideal for agricultural implements and musical instruments. Its dense and sturdy nature ensures longevity and consistent performance in various applications, contributing to its high demand and economic importance.","Why is Acacia timber considered valuable, and what are its common uses?",The timber is preferred for agricultural implements and musical instruments.
2435,"The black wattle tree bark has significantly contributed to industrial applications, particularly in the tanning industries of several countries. It provides essential tannins used in producing waterproof adhesives, showcasing its versatile industrial usefulness beyond just being a source of timber.",How has the black wattle tree bark contributed to industrial applications?,"Black wattle tree bark has been supporting the tanning industries of several countries, and also supply tannins for production of waterproof adhesives."
2436,"Acacia seeds have notable storage and nutritional advantages. They contain 25% more protein than cereals, providing a high-protein food source. Their hard seed coats ensure long-term storage without spoilage. Additionally, acacia gum is edible, adding to the seed's versatility as a food resource.",Discuss the storage and nutritional advantages of Acacia seeds.,"The seeds contain as much as 25% more protein than cereals, and they store well for long periods due to the hard seed coats, also the acacia gum is edible."
2437,"Acacia's classification within the plant kingdom includes its placement in the kingdom Plantae, the class Rosids, and the order Fabales. It belongs to the family Fabaceae, the genus Acacia, and includes species such as nilotica and senegal, highlighting its botanical hierarchy and relationships.",Explain the classification of Acacia within the plant kingdom.,"Kingdom : Plantae, Class : Rosids, Order : Fabales, Family : Fabaceae, Genus : Acacia, Species : nilotica/senegal"
2438,"Acacia trees exude a reddish, low-quality gum from their fissured bark. Economically, this gum has limited applications compared to other tree resins. However, the tree remains important for timber, tannin, firewood, and fodder, with its bark supporting tanning industries and the seeds being used traditionally for food.",What are the gum-exuding properties of Acacia trees and their economic implications?,"dense spheric crown, dark brown to black coloured stems and branches, fissured bark, grey-pinkish slash, exude a reddish low-quality gum. The tree has thin, straight, light, grey spines in axillary pairs, usually in 3 to 12 pairs, 5-7.5 cm long in young trees, the same is absent in mature tree. Acacia species are economically important and are widely planted globally for the most attractive timber, tannin, firewood and fodder. The timber is preferred for agricultural implements and musical instruments. Black wattle tree bark has been supporting the tanning industries of several countries, and also supply tannins for production of waterproof adhesives. Traditionally, the seeds of some acacia species are ground into flour and used as food supplement as well in Australia. The seeds contain as much as 25% more protein than cereals, and they store well for long periods due to the hard seed coats, also the acacia gum is edible."
2439,"Acacia trees have a range of botanical features that contribute to their industrial utility. Their dense crown, durable timber, and tannin-rich bark make them valuable for timber, tanning, and firewood industries. The seeds, high in protein, serve as a food supplement, showcasing the tree's diverse economic importance.",How do the botanical characteristics of Acacia trees contribute to their utility in different industries?,"Acacias are also called wattle tree or kikar that grows up to 5-20 metre height with a dense spheric crown, dark brown to black coloured stems and branches, fissured bark, grey-pinkish slash, exude a reddish low-quality gum. The tree has thin, straight, light, grey spines in axillary pairs, usually in 3 to 12 pairs, 5-7.5 cm long in young trees, the same is absent in mature tree. Acacia species are economically important and are widely planted globally for the most attractive timber, tannin, firewood and fodder. The timber is preferred for agricultural implements and musical instruments. Black wattle tree bark has been supporting the tanning industries of several countries, and also supply tannins for production of waterproof adhesives. Traditionally, the seeds of some acacia species are ground into flour and used as food supplement as well in Australia. The seeds contain as much as 25% more protein than cereals, and they store well for long periods due to the hard seed coats, also the acacia gum is edible."
2440,"The Acacia tree's structure features spines in young trees, durable timber, and tannin-rich bark. These characteristics support its use in timber production, tanning, and as a food source. The seeds' high protein content and hard seed coats enhance their storage and nutritional value, demonstrating the tree's multi-faceted utility.",Describe how the Acacia tree's structure supports its various uses.,"The tree has thin, straight, light, grey spines in axillary pairs, usually in 3 to 12 pairs, 5-7.5 cm long in young trees, the same is absent in mature tree. Acacia species are economically important and are widely planted globally for the most attractive timber, tannin, firewood and fodder. The timber is preferred for agricultural implements and musical instruments. Black wattle tree bark has been supporting the tanning industries of several countries, and also supply tannins for production of waterproof adhesives. Traditionally, the seeds of some acacia species are ground into flour and used as food supplement as well in Australia. The seeds contain as much as 25% more protein than cereals, and they store well for long periods due to the hard seed coats, also the acacia gum is edible."
2441,"Acacia species hold significant economic and environmental importance globally. They provide valuable resources such as timber, tannin, firewood, and fodder. Acacia timber supports various industries like agriculture and music. Additionally, the seeds offer a high-protein food source. Environmentally, Acacia trees stabilize soils and improve biodiversity, enhancing ecosystems.",Analyze the economic and environmental importance of Acacia species on a global scale.,"Acacias are also called wattle tree or kikar that grows up to 5-20 metre height with a dense spheric crown, dark brown to black coloured stems and branches, fissured bark, grey-pinkish slash, exude a reddish low-quality gum. The tree has thin, straight, light, grey spines in axillary pairs, usually in 3 to 12 pairs, 5-7.5 cm long in young trees, the same is absent in mature tree. Acacia species are economically important and are widely planted globally for the most attractive timber, tannin, firewood and fodder. The timber is preferred for agricultural implements and musical instruments. Black wattle tree bark has been supporting the tanning industries of several countries, and also supply tannins for production of waterproof adhesives. Traditionally, the seeds of some acacia species are ground into flour and used as food supplement as well in Australia. The seeds contain as much as 25% more protein than cereals, and they store well for long periods due to the hard seed coats, also the acacia gum is edible."
2442,"Acacia is distributed throughout Australia, parts of Asia, Africa, Europe, and the Americas.",Where is Acacia broadly distributed across the world?,"Acacia being a large genus with more than 1000 species distributed throughout the Australia, parts of Asia, Africa, Europe and the Americas."
2443,"Acacia trees are present in alpine settings, rainforests, woodlands, grasslands, coastal dunes, and deserts.",In which habitats are Acacia trees present?,"This tree genus present in all terrestrial habitats, including alpine settings, rainforests, woodlands, grasslands, coastal dunes and deserts."
2444,Acacia forests in Australia are the second most spread after eucalypts.,What is the status of Acacia forests in Australia compared to eucalypts?,In Australia they are second most spread forests after eucalypts.
2445,"Yes, few species of Acacia are native to India and are widely present across almost all Indian states.",Are Acacia species native to India?,India is native to few species of acacia and this tree has a wide presence in almost all Indian states.
2446,Fusarium avenaceum and Aspergillus spp. cause seed-borne damage to Acacia seeds.,Which fungi species cause seed-borne damage to Acacia seeds?,Seeds of acacia are prone to damage by seed borne fungi like Fusarium avenaceum and Aspergillus spp.
2447,Seed-borne fungi damage in Acacia seeds can be prevented with captan treatment (2g/kg seed).,How can seed-borne fungi damage be prevented in Acacia seeds?,The seed treatment with captan (2g/kg seed) will save from the damage.
2448,"Leaf rust (Ravenelia taslimii), powdery mildew (Erysiphe acaciae), and leafspots (Septogloeum acacia; Curvularia lunata) threaten Acacia nurseries.",Which foliar diseases threaten Acacia nurseries?,"Foliar diseases such as leaf rust (Ravenelia taslimii), powdery mildew (Erysiphe acaciae), and leafspots (Septogloeum acacia; Curvularia lunata) mostly threaten the nurseries."
2449,"Mature Acacia trees are affected by trunk rot (Fomes badius), root rot (Fusarium pallidoroseum), and butt rot (Ganoderma lucidum and Polyporus gilvus).",What kind of rot issues affect mature Acacia trees?,Mature trees are commonly attacked by rot causing fungi such as Fomes badius (trunk rot); Fusarium pallidoroseum (root rot); Ganoderma lucidum; Polyporus gilvus (butt rot).
2450,"Fomes badius causes trunk rot, and butt rot is caused by Ganoderma lucidum and Polyporus gilvus in mature Acacia trees.",Which fungi cause trunk rot and butt rot in mature Acacia trees?,Mature trees are commonly attacked by rot causing fungi such as Fomes badius (trunk rot); Fusarium pallidoroseum (root rot); Ganoderma lucidum; Polyporus gilvus (butt rot).
2451,"Acacia faces major pathological problems like mortality due to Fusarium solani, Ganoderma lucidum, insect pest attacks, water logging, and drought conditions.",What are some major pathological problems faced by Acacia?,"Acacia mortality (Fusarium solani and Ganoderma lucidum; insect pest attack, Water logging and drought conditions)"
2452,"Acacia forests are ecologically significant in Australia, being the second most widespread after eucalypts. They adapt to diverse habitats such as alpine settings, rainforests, woodlands, grasslands, coastal dunes, and deserts, supporting varied ecosystems and biodiversity.",Discuss the ecological significance of Acacia forests in Australia.,"In Australia they are second most spread forests after eucalypts. This tree genus present in all terrestrial habitats, including alpine settings, rainforests, woodlands, grasslands, coastal dunes and deserts."
2453,"Foliar diseases like leaf rust, powdery mildew, and leaf spots significantly threaten Acacia nurseries, affecting seedling growth and survival. Prevention strategies include regular monitoring, applying fungicides, and maintaining hygiene in the nurseries to mitigate the spread and impact of these diseases.",Explain the impact of foliar diseases on Acacia nurseries and suggest prevention strategies.,"Foliar diseases such as leaf rust (Ravenelia taslimii), powdery mildew (Erysiphe acaciae), and leafspots (Septogloeum acacia; Curvularia lunata) mostly threaten the nurseries."
2454,"A few Acacia species are native to India and are widely distributed across almost all Indian states. They provide ecological benefits such as nitrogen fixation, soil stabilization, and habitat for wildlife, contributing to biodiversity and sustainable land management in various regions.",Describe the distribution of Acacia species in India and their significance.,India is native to few species of acacia and this tree has a wide presence in almost all Indian states.
2455,"Primary causes of Acacia mortality include fungal pathogens like Fusarium solani and Ganoderma lucidum, insect pest attacks, waterlogging, and drought conditions. These factors weaken trees, reduce productivity, and ultimately hinder sustainable forest management, affecting ecological balance and economic returns in forestry.",Discuss the primary causes of Acacia mortality and its implications on forestry.,"Acacia mortality (Fusarium solani and Ganoderma lucidum; insect pest attack, Water logging and drought conditions)"
2456,"Acacia trees adapt to various terrestrial habitats worldwide, including alpine settings, rainforests, woodlands, grasslands, coastal dunes, and deserts, through unique physiological and ecological traits. Their adaptability to diverse environments ensures their widespread distribution and ecological success in different continents.",How do Acacia trees adapt to different terrestrial habitats across the world?,"Parts of Asia, Africa, Europe and the Americas. This tree genus present in all terrestrial habitats, including alpine settings, rainforests, woodlands, grasslands, coastal dunes and deserts."
2457,"Acacia plays a vital role in dry woodland ecosystems by improving soil fertility through nitrogen fixation, providing shade and shelter, reducing soil erosion, and enhancing biodiversity. In Australia, their prominence as the second most widespread forest type after eucalypts highlights their ecological importance.",Analyze the role of Acacia in improving dry woodland ecosystems.,"In drier woodlands or forests, they are an important component and in Australia they are second most spread forests after eucalypts."
2458,"Root and butt rot fungi, such as Fusarium pallidoroseum, Ganoderma lucidum, and Polyporus gilvus, pose significant challenges to mature Acacia trees by causing structural damage, reducing stability, and leading to tree death. This impacts forest health, productivity, and ecosystem functions, necessitating vigilant management and control measures.",Examine the challenges posed by root and butt rot fungi to mature Acacia trees.,Mature trees are commonly attacked by rot causing fungi such as Fomes badius (trunk rot); Fusarium pallidoroseum (root rot); Ganoderma lucidum; Polyporus gilvus (butt rot).
2459,"Captan, applied at 2g/kg of seed, is effective in protecting Acacia seeds from fungal damage caused by Fusarium avenaceum and Aspergillus spp. This treatment significantly reduces seed-borne infections, ensuring higher seed viability, healthier seedlings, and overall better establishment of Acacia plantations.",Evaluate the effectiveness of captan in protecting Acacia seeds from fungal damage.,Seeds of acacia are prone to damage by seed borne fungi like Fusarium avenaceum and Aspergillus spp. and the seed treatment with captan (2g/kg seed) will save from the damage.
2460,"Acacia trees influence coastal dune ecosystems by stabilizing sand dunes with their extensive root systems, reducing erosion and promoting plant succession. They provide habitat and food sources for various organisms and contribute to the resilience and stability of these fragile ecosystems under changing environmental conditions.",How does the presence of Acacia influence coastal dune ecosystems?,"This tree genus present in all terrestrial habitats, including alpine settings, rainforests, woodlands, grasslands, coastal dunes and deserts."
2461,"Waterlogging and drought conditions greatly impact Acacia tree health. Waterlogging disrupts oxygen supply to roots, leading to root rot and decreased vigor. Conversely, drought stresses trees, affecting growth and increasing susceptibility to pests and diseases. Both conditions severely compromise the tree's survival and productivity.",What are the implications of waterlogging and drought conditions on Acacia tree health?,"Acacia mortality (Fusarium solani and Ganoderma lucidum; insect pest attack, Water logging and drought conditions)"
2462,"Symptoms of Acacia tree mortality include stag head appearance of the tree canopy, root rot, blackened feeder roots, discolored vascular tissue, bracket fungi fruiting bodies at the tree base, and insect pests causing damage.",What are the symptoms of Acacia tree mortality?,"Mortality in Acacia
Healthy tree

Symptoms:
Ø
Stag head appearance of the tree canopy due to severe defoliation
Ø
Root rot and blackening of feeder roots
Ø
Discoloration of vascular tissue of the roots
Ø
Presence of bracket fungi fruiting bodies at the tree base
Ø
Presence of insect pests and signs of damage caused by the termites and borers"
2463,Root rot in Acacia trees manifests through the blackening of feeder roots and discoloration of the vascular tissue of the roots.,How does root rot manifest in Acacia trees?,"Mortality in Acacia
Healthy tree

Symptoms:
Ø
Root rot and blackening of feeder roots
Ø
Discoloration of vascular tissue of the roots"
2464,The presence of bracket fungi fruiting bodies at the tree base signifies a possible infection that can lead to tree mortality.,What is the significance of the bracket fungi fruiting bodies in Acacia?,"Mortality in Acacia
Healthy tree

Symptoms:
Ø
Presence of bracket fungi fruiting bodies at the tree base"
2465,"Preventive measures include using quality planting material, avoiding prolonged water logging or drought, removing fruiting bodies, not wounding roots/stem, applying Bordeaux paste, applying lime paste, and root feeding with tridemorph.",What are the preventive measures for Acacia tree mortality?,"Mortality in Acacia
Healthy tree

Management:
Ø
Use of quality planting material
Ø
Preventing the seedlings from prolonged water logging and/or drought
Ø
Removal of fruiting bodies if any from infected trees to avoid the disease spread
Ø
Avoid wounds and cuts to the roots/stem
Ø
Application of 10% Bordeaux paste to the cut surfaces (1 kg lime+1 kg CuSO +10 litres of water)
Ø
Application of lime paste to the tree base to avoid secondary infections
Ø
Root feed with tridemorph 75% EC 2ml in 100 ml water once in a month for 3 months"
2466,"Bordeaux paste, made of lime and copper sulfate, is applied to cut surfaces to prevent infections in Acacia trees.",What is the role of Bordeaux paste in managing Acacia tree health?,"Mortality in Acacia
Healthy tree

Management:
Ø
Application of 10% Bordeaux paste to the cut surfaces (1 kg lime+1 kg CuSO +10 litres of water)"
2467,Secondary infections can be prevented by applying lime paste to the base of Acacia trees.,How can secondary infections in Acacia trees be prevented?,"Mortality in Acacia
Healthy tree

Management:
Ø
Application of lime paste to the tree base to avoid secondary infections"
2468,"To prevent disease spread, it is crucial to remove any fruiting bodies from infected Acacia trees.",What should be done to avoid the spread of disease in Acacia trees?,"Mortality in Acacia
Healthy tree

Management:
Ø
Removal of fruiting bodies if any from infected trees to avoid the disease spread"
2469,Root feeding with tridemorph helps manage infections and maintain the health of Acacia trees.,What is the purpose of root feeding with tridemorph in Acacia trees?,"Mortality in Acacia
Healthy tree

Management:
Ø
Root feed with tridemorph 75% EC 2ml in 100 ml water once in a month for 3 months"
2470,One symptom of insect pest damage is the presence of termites and borers causing damage to the tree.,What is one symptom of insect pest damage on Acacia trees?,"Mortality in Acacia
Healthy tree

Symptoms:
Ø
Presence of insect pests and signs of damage caused by the termites and borers"
2471,Severe defoliation in Acacia trees is indicated by a stag head appearance of the tree canopy.,What appearance characteristic indicates severe defoliation in Acacia trees?,"Mortality in Acacia
Healthy tree

Symptoms:
Ø
Stag head appearance of the tree canopy due to severe defoliation"
2472,"The use of quality planting material is crucial because it ensures the initial health and disease resistance of Acacia trees, helping to prevent mortality caused by poor genetic stock or already present pathogens.",Why is the use of quality planting material important in managing Acacia mortality?,"Mortality in Acacia
Healthy tree

Management:
Ø
Use of quality planting material"
2473,"Prolonged water logging can cause root rot and other fungal infections in Acacia trees, leading to mortality. It hampers root oxygenation and creates a conducive environment for pathogen activity.",How can prolonged water logging contribute to Acacia tree conditions?,"Mortality in Acacia
Healthy tree

Management:
Ø
Preventing the seedlings from prolonged water logging and/or drought"
2474,"Termites and borers damage Acacia trees by feeding on their wood, weakening the structural integrity, and interrupting the vascular system, which can lead to dieback and eventual tree death.",In what ways do termites and borers affect Acacia trees?,"Mortality in Acacia
Healthy tree

Symptoms:
Ø
Presence of insect pests and signs of damage caused by the termites and borers"
2475,"Avoiding wounds and cuts to the roots and stem is important to prevent exposing the tree to infections and pest invasions, which can severely compromise the tree's health.",Why is it important to avoid wounds and cuts to the roots/stem of Acacia trees?,"Mortality in Acacia
Healthy tree

Management:
Ø
Avoid wounds and cuts to the roots/stem"
2476,"Severe defoliation results in a stag head appearance of the tree canopy, where the top part of the tree appears bare and lifeless while the lower branches may still have foliage.",What visual symptom is caused by severe defoliation in Acacia trees?,"Mortality in Acacia
Healthy tree

Symptoms:
Ø
Stag head appearance of the tree canopy due to severe defoliation"
2477,"Applying Bordeaux paste, a mixture of lime and copper sulfate, to cut surfaces helps prevent fungal and bacterial infections. It forms a protective barrier against pathogens, ensuring that wounds do not become entry points for diseases that can compromise the health of Acacia trees.",Discuss the process and benefits of applying Bordeaux paste to cut surfaces of Acacia trees.,"Mortality in Acacia
Healthy tree

Management:
Ø
Application of 10% Bordeaux paste to the cut surfaces (1 kg lime+1 kg CuSO +10 litres of water)"
2478,"Necrotic conditions in Acacia roots can be identified by root rot, blackening of feeder roots, and discoloration of the vascular tissue. These symptoms suggest a severe infection or disease affecting the tree’s nutrient and water uptake systems, crucial for survival.",Outline the symptoms indicating a necrotic condition in Acacia roots.,"Mortality in Acacia
Healthy tree

Symptoms:
Ø
Root rot and blackening of feeder roots
Ø
Discoloration of vascular tissue of the roots"
2479,"Root feeding with tridemorph, a systemic fungicide, is crucial for managing diseases in Acacia trees. By applying 2ml of tridemorph in 100ml of water monthly for three months, it is absorbed and circulated within the tree, targeting pathogens effectively and protecting the roots from fungal infections.",Explain the role of root feeding with tridemorph in the context of disease management in Acacia trees.,"Mortality in Acacia
Healthy tree

Management:
Ø
Root feed with tridemorph 75% EC 2ml in 100 ml water once in a month for 3 months"
2480,"A stag head appearance in Acacia tree canopies is typically caused by severe defoliation, which may result from pest infestations, diseases, environmental stress, or root issues. This condition indicates a decline in the tree's health, affecting its growth and vitality.",What are the potential causes of a stag head appearance in Acacia tree canopies?,"Mortality in Acacia
Healthy tree

Symptoms:
Ø
Stag head appearance of the tree canopy due to severe defoliation"
2481,"To prevent infections in Acacia trees, it is advised to use quality planting material, avoid prolonged water logging and drought, remove infected fruiting bodies, prevent wounds, apply Bordeaux paste to cuts, use lime paste at the tree base, and feed roots with tridemorph monthly for three months. This multi-pronged approach ensures comprehensive disease management.",What management practices are recommended to avoid the spread of infections in Acacia trees?,"Mortality in Acacia
Healthy tree

Management:
Ø
Use of quality planting material
Ø
Preventing the seedlings from prolonged water logging and/or drought
Ø
Removal of fruiting bodies if any from infected trees to avoid the disease spread
Ø
Avoid wounds and cuts to the roots/stem
Ø
Application of 10% Bordeaux paste to the cut surfaces (1 kg lime+1 kg CuSO +10 4 litres of water)
Ø
Application of lime paste to the tree base to avoid secondary infections
Ø
Root feed with tridemorph 75% EC 2ml in 100 ml water once in a month for 3 months"
2482,"The visible symptoms of rust infection on Indian Rose Wood include rusty brown pustules on leaves, stems, and floral parts. Additionally, malformation and hypertrophy on leaf rachis, pods, and stem occur.",What are the visible symptoms of the rust infection on Indian Rose Wood?,"Symptoms: Ø Rusty brown pustules on leaves, stems and floral parts"
2483,The first approach to managing rust on Indian Rose Wood is the use of rust-resistant planting material. This method helps in preventing significant losses due to the disease.,What is the first approach towards managing rust on Indian Rose Wood?,Management: Ø Use of rust-resistant planting material is the best method to prevent the losses
2484,"Severe rust infection on Indian Rose Wood manifests as large conspicuous galls, which are induced by the aecial stage of the fungus.",How does severe rust infection manifest on the Indian Rose Wood?,Symptoms: Ø Large conspicuous galls in severe stages induced by the aecial stage of the fungus
2485,Sprinkler irrigation should be avoided at the advent of disease in the nursery to manage rust infection in Indian Rose Wood.,What irrigation method should be avoided to manage rust in the nursery?,Management: Ø Avoid sprinkler irrigation at the advent of disease in the nursery
2486,Infected seedlings should be removed and carefully buried underneath the soil as part of the management practices for rust infection in Indian Rose Wood.,How should infected seedlings be treated according to management practices?,Management: Ø Removal of infected seedlings and carefully burial underneath soil
2487,"For severe rust infection, a recommended chemical treatment is Azoxystrobin 23% EC, applied at a dosage of 1 ml per litre of water.",What chemical treatment is recommended for severe rust infection?,Management: Ø Azoxystrobin 23% EC @ 1ml/litre spray is recommended dosage if the infection is severe
2488,"Symptoms on the leaf rachis due to rust include malformation and hypertrophy, which also affect pods and the stem.",What are the symptoms on the leaf rachis due to rust?,"Symptoms: Ø Malformation and hypertrophy on leaf rachis, pods and the stem"
2489,"Rusty brown pustules appear on the leaves, stems, and floral parts of the Indian Rose Wood.",In what parts of Indian Rose Wood do rusty brown pustules appear?,"Symptoms: Ø Rusty brown pustules on leaves, stems and floral parts"
2490,"In severe rust infections, the aecial stage of the fungus induces large conspicuous galls on the Indian Rose Wood.",What does the aecial stage of the fungus induce in severe rust infections?,Symptoms: Ø Large conspicuous galls in severe stages induced by the aecial stage of the fungus
2491,"Avoiding sprinkler irrigation is important to prevent the spread of rust spores through water droplets in nurseries, thus managing rust effectively.",Why is it important to avoid sprinkler irrigation when managing rust in nurseries?,Management: Ø Avoid sprinkler irrigation at the advent of disease in the nursery
2492,"The comprehensive symptoms of rust infection on Indian Rose Wood include rusty brown pustules on leaves, stems, and floral parts, malformation and hypertrophy on leaf rachis, pods, and stem, and large conspicuous galls in severe stages.",What are the comprehensive symptoms of rust infection on Indian Rose Wood?,"Symptoms: Ø Rusty brown pustules on leaves, stems and floral parts Ø Malformation and hypertrophy on leaf rachis, pods and the stem Ø Large conspicuous galls in severe stages induced by the aecial stage of the fungus"
2493,The best method to prevent rust infections in Indian Rose Wood is using rust-resistant planting materials. This preemptive approach is highly effective in preventing significant losses caused by rust.,Which method is considered the best to prevent rust infections in Indian Rose Wood?,Management: Ø Use of rust-resistant planting material is the best method to prevent the losses
2494,"Removing infected seedlings and burying them carefully underneath the soil helps in rust management by eliminating the source of infection, preventing the spread of rust to healthy plants.",How does removing infected seedlings contribute to rust management in Indian Rose Wood?,Management: Ø Removal of infected seedlings and carefully burial underneath soil
2495,"For severe rust infection, Azoxystrobin 23% EC is recommended, applied at a rate of 1 ml per litre. This fungicide helps control the spread and severity of the infection.",What is the recommended chemical treatment for severe rust infection and its application rate?,Management: Ø Azoxystrobin 23% EC @ 1ml/litre spray is recommended dosage if the infection is severe
2496,"Sprinkler irrigation should be avoided at the onset of rust disease in nurseries because it can spread fungal spores through water droplets, increasing the risk of disease spread and severity.",Why should sprinkler irrigation be avoided at the onset of rust disease in nurseries?,Management: Ø Avoid sprinkler irrigation at the advent of disease in the nursery
2497,"Severe rust infections on Indian Rose Wood can lead to the formation of large conspicuous galls on the foliage. These galls are induced by the aecial stage of the fungus, significantly affecting the plant's health.",What are the potential impacts of severe rust infections on Indian Rose Wood foliage?,Symptoms: Ø Large conspicuous galls in severe stages induced by the aecial stage of the fungus
2498,"Rust on Indian Rose Wood causes rusty brown pustules on leaves, stems, and floral parts. It also leads to malformation and hypertrophy on the leaf rachis, pods, and stems, which can severely affect plant structure and health.",Describe the physical changes observed on Indian Rose Wood leaves and stems due to rust.,"Symptoms: Ø Rusty brown pustules on leaves, stems and floral parts Ø Malformation and hypertrophy on leaf rachis, pods and the stem"
2499,"Using rust-resistant planting material is highly effective for managing rust on Indian Rose Wood. This proactive measure prevents the establishment and spread of rust infections, ensuring healthier growth and reduced losses.",How effective is it to use rust-resistant planting material for managing rust on Indian Rose Wood?,Management: Ø Use of rust-resistant planting material is the best method to prevent the losses
2500,"The aecial stage of the fungus plays a crucial role in the pathology of rust by inducing large conspicuous galls in severe infections. These galls disrupt normal plant growth and function, severely compromising plant health.",What role does the aecial stage of the fungus play in the pathology of rust in Indian Rose Wood?,Symptoms: Ø Large conspicuous galls in severe stages induced by the aecial stage of the fungus
2501,"To manage severe rust infections effectively, Azoxystrobin 23% EC should be applied at a concentration of 1 ml per litre. This fungicide should be sprayed uniformly on the affected plants to control and mitigate the infection.",How should Azoxystrobin 23% EC be applied for effective rust management in severe infections?,Management: Ø Azoxystrobin 23% EC @ 1ml/litre spray is recommended dosage if the infection is severe
2502,"Dalbergia sissoo wood is known to be extraordinarily strong, close-grained, durable, and ornamental. It is widely used for furniture, panelling, ornamental work, agricultural implements, and gun carriages.",What are the primary characteristics of Dalbergia sissoo wood?,"Dalbergia sissoo (shisham/rosewood) is tall, deciduous tree grows upto 25 metres and is as an important agroforestry species known for its timber quality and demand. Shisham wood is extraordinarily strong, close grained, durable, ornamental and is used for various purposes including furniture, panelling, ornamental work, agricultural implements, gun carriages. etc."
2503,Dalbergia sissoo is significant for use in riverbank reforestation programs in tropical and subtropical climatic regions.,How does Dalbergia sissoo contribute to riverbank reforestation?,This species is having high significance to use in riverbank reforestation programs in tropical and subtropical climatic regions.
2504,"The leaves and young shoots of Dalbergia sissoo are used as fodder, especially during the winter season.",In what seasons are the leaves of Dalbergia sissoo used as fodder?,"The leaves and young shoots are readily grazed by the animals, used as fodder, especially during the winter season."
2505,"Dalbergia sissoo has medicinal properties used to treat skin diseases, blood diseases, syphilis, stomach problems, and as an expectorant.",What medicinal properties does Dalbergia sissoo possess?,"Shisham also has reputation for its medicinal properties used in treating skin diseases, blood diseases, syphilis, stomach problems, and as an expectorant, etc."
2506,"Traditionally, the fruit extract of Dalbergia sissoo is used as a molluscide to inhibit freshwater snail problems.",What is the traditional use of Dalbergia sissoo fruit extract?,"Besides, traditionally the fruit extract is under use as molluscide to inhibit freshwater snail problem."
2507,Dalbergia sissoo is exported to Europe under the names rosewood and Bombay block wood.,Under what names is Dalbergia sissoo exported to Europe?,"It has been exported to various countries in the Europe and elsewhere under the name of rosewood/bombay block wood owing to the rich colour, smoothness and after finish to the furniture made up of rose wood."
2508,Dalbergia sissoo can grow up to 25 meters in height.,To what height can Dalbergia sissoo grow?,"Dalbergia sissoo (shisham/rosewood) is tall, deciduous tree grows upto 25 metres."
2509,Dalbergia sissoo belongs to the class Rosids.,What class does Dalbergia sissoo belong to?,Class : Rosids
2510,Dalbergia sissoo comes under the family Fabaceae.,What family does Dalbergia sissoo come under?,Family : Fabaceae
2511,"Dalbergia sissoo wood is used for furniture, panelling, ornamental work, agricultural implements, and gun carriages.",What are some of the uses of Dalbergia sissoo wood?,"Shisham wood is extraordinarily strong, close grained, durable, ornamental and is used for various purposes including furniture, panelling, ornamental work, agricultural implements, gun carriages. etc."
2512,"Dalbergia sissoo is considered an important species in agroforestry due to its high timber quality, durability, and strength, making it highly demanded.",Why is Dalbergia sissoo considered an important species in agroforestry? ,"Dalbergia sissoo (shisham/rosewood) is tall, deciduous tree grows upto 25 metres and is as an important agroforestry species known for its timber quality and demand."
2513,"Dalbergia sissoo timber is used for making furniture, panelling, ornamental work, agricultural implements, and gun carriages due to its strength, durability, and ornamental qualities.",What are the various purposes for which Dalbergia sissoo timber is used?,"Shisham wood is extraordinarily strong, close grained, durable, ornamental and is used for various purposes including furniture, panelling, ornamental work, agricultural implements, gun carriages. etc."
2514,"The leaves and young shoots of Dalbergia sissoo provide an essential fodder source for livestock, especially during the winter season, due to their readiness to be grazed.",How do the leaves and shoots of Dalbergia sissoo benefit livestock?,"The leaves and young shoots are readily grazed by the animals, used as fodder, especially during the winter season."
2515,"Dalbergia sissoo is significant in exports to Europe under names like rosewood and Bombay block wood, attributed to its rich color, smoothness, and the appealing finish it gives to furniture.",Describe the export significance of Dalbergia sissoo to Europe.,"It has been exported to various countries in the Europe and elsewhere under the name of rosewood/bombay block wood owing to the rich colour, smoothness and after finish to the furniture made up of rose wood."
2516,"Dalbergia sissoo is valued for its medicinal properties, frequently used to treat ailments including skin diseases, blood diseases, syphilis, stomach issues, and serves as an expectorant.",Explain the medicinal applications of Dalbergia sissoo.,"Shisham also has reputation for its medicinal properties used in treating skin diseases, blood diseases, syphilis, stomach problems, and as an expectorant, etc."
